-19448,-5352,-16696,-15143,-32768,8984,0
12004,-32768,19368,-10790,-1794,6633,0
1824,1216,16176,-133,121,-17,1
2160,924,16000,29,255,-262,1
3076,1276,16520,1104,1595,-553,1
3296,-13308,-1804,2241,3284,-873,0
1672,1464,16196,-298,180,-310,1
1048,1784,15152,-35,97,-84,1
-11488,-9264,6016,-187,-148,-174,0
-10792,-8352,8844,708,33,289,0
652,1976,15072,-250,-276,-59,1
1340,2012,15204,-131,-144,84,1
1084,2032,15456,-173,174,-3,1
-15404,-6012,23708,-19323,6986,-14556,0
-10508,-9880,5460,279,9278,-3162,0
1584,2132,15148,-145,-90,63,1
-376,1416,15576,-89,140,-136,1
-20428,-8940,2308,32767,9536,4852,0
-9468,-11612,4244,1709,8319,-11557,0
1576,-14104,744,22051,-11029,4434,0
4336,-9996,8952,3637,-8397,32767,0
1280,1060,15716,-177,-52,-54,1
308,2044,16220,-314,-604,-2899,1
-3788,-19256,1012,-32768,-28827,7350,0
-14112,-14832,-6548,32767,23331,-3449,0
148,1636,15752,-66,-169,-261,1
3004,-14608,5552,3535,32767,-19438,0
1896,1468,16056,-197,-180,1015,1
2020,-25168,8276,27112,16170,-1897,0
4732,-2768,12864,6454,-3497,32767,0
940,1748,15904,-85,32,-130,1
-25644,-6196,-8188,-25373,-27443,16777,0
3564,-27112,12132,32767,17717,-678,0
1064,1604,14708,-81,92,81,1
-976,-14240,13212,-1609,2375,-32768,0
756,1868,16096,68,11,736,1
2496,2200,15532,1205,796,1316,1
72,1372,15232,-18,306,596,1
1852,2600,15576,-51,-130,-297,1
-8856,-4708,21952,25089,10298,-14149,0
1872,1052,15740,-236,20,30,1
-4740,-24624,1024,27394,14240,2815,0
1024,1804,16084,-186,18,-142,1
27668,-6912,10936,-1606,7557,-4910,0
-15860,-312,-7784,24819,17519,-4009,0
20304,-10788,12528,-6065,-29680,8971,0
1244,1300,15916,-115,-321,289,1
732,1928,16336,178,-557,81,1
816,1808,15968,-255,97,-442,1
-3796,-15512,-6460,-32768,-32768,11897,0
940,1300,16124,-79,56,-176,1
-12048,-12436,2712,12159,11395,-19227,0
-9504,-6768,12360,-10019,8307,-32768,0
-12124,-9772,8892,-5868,-1018,-12716,0
-16584,2200,4300,-2304,-544,105,0
1024,5452,4452,12534,11795,3576,0
1844,1432,14948,-10,94,175,1
-9868,-12388,408,46,-37,-11,0
524,1844,14912,-250,-11,261,1
764,2336,14880,-279,53,-340,1
-1664,-22848,12128,7349,4028,-2244,0
788,2260,15480,-189,159,53,1
620,1832,15228,-66,216,-181,1
-988,2352,14840,-321,-246,-116,1
1724,1352,15716,40,325,-37,1
2452,-604,15400,50,-92,-270,0
-8,-14280,320,-13287,-8977,1826,0
908,1972,15536,-179,67,-80,1
548,2096,15692,-116,207,-640,1
-14608,864,-7384,-32768,-19720,1969,0
-10492,-10712,8944,3422,-613,7896,0
-15044,3748,2268,-476,600,690,0
184,2568,14788,49,-16,-256,1
-72,1796,16272,-150,64,-23,1
-11028,-11872,308,-642,22,334,0
19152,-7484,4040,-18380,5095,-345,0
136,2144,15124,58,-81,-215,1
-4540,-15172,-5192,-32768,-32768,5784,0
44,2112,15772,-153,-108,-66,1
-14784,-8836,16868,3970,-1929,19715,0
1564,1592,15612,-126,-104,-201,1
28360,-6772,192,5395,1191,-1544,0
-16036,-9100,13864,-11594,395,-21829,0
1000,1500,16360,-716,435,-742,1
1968,1312,15744,60,46,-173,1
2160,1356,15008,-84,147,-183,1
1384,1812,15860,-32,60,-439,1
-5720,-11900,7088,-9588,-9033,1388,0
1908,1080,15596,188,-127,-103,1
-13332,-12792,-2284,-32768,-18461,1787,0
1080,668,15856,-284,34,-188,1
-264,1832,15136,-230,90,17,1
1436,1092,15656,142,104,301,1
512,1520,16104,-14,54,185,1
-8464,-9620,10836,32767,32767,-24264,0
1200,940,15468,-195,-43,47,1
-15312,2216,3308,-128,356,373,0
496,1804,15736,-197,305,-253,1
-15276,3368,2336,-321,-7,-72,0
532,1944,15464,91,88,-120,1
-2360,-16272,-3132,-32768,-32768,6493,0
1420,2016,16180,-223,-188,279,1
-5680,-19912,7320,29992,12983,-5890,0
-36,1560,15756,475,549,-1471,1
13976,-15816,9260,-2698,-24085,32767,0
292,2296,15372,-47,-4,-167,1
-5788,-23540,-6312,32767,31311,-14581,0
-3052,-16,14776,739,4824,-13801,0
1244,1728,15504,-263,186,-226,1
-10684,-12460,2748,-4204,-2859,-2834,0
1892,2388,15172,-216,496,5,1
-216,-23724,2620,25399,32358,-32768,0
-13108,7200,6680,-3973,-8368,-356,0
8464,-14168,4304,-73,-15681,23174,0
12316,-11772,15344,1524,10152,-32768,0
-28,1924,15808,-28,88,-265,1
988,1176,15664,11,-47,151,1
1664,2052,15188,-181,-46,-127,1
-824,-11848,15184,-14395,6998,-32768,0
5472,-6976,15232,-15585,12431,-12310,0
1304,1868,14720,-407,-364,-21,1
-12060,-21212,-13220,-32768,-22149,16570,0
-10040,10220,6848,-3620,-3160,-2853,0
-20544,-17316,4948,-15902,-15420,-4853,0
856,1816,15348,8,51,51,1
60,1884,15440,-9,116,-118,1
-15116,3056,2220,-422,88,-84,0
2236,896,17116,-257,103,49,1
1312,1936,15780,-103,196,75,1
152,2416,15948,121,173,59,1
900,1872,16188,-43,-20,-195,1
1832,1756,15568,57,-113,28,1
1236,2472,15400,43,256,-451,1
-14696,6300,-3352,-5667,-764,736,0
516,1896,15948,-1244,-317,-496,1
792,1492,16232,-243,-26,125,1
2816,-616,16096,229,-203,-602,0
796,2088,16120,-195,-66,-388,1
-19664,-5304,12064,-32768,2311,19560,0
728,924,16552,105,68,116,1
404,2148,15332,-173,201,-239,1
9284,-32768,10792,-21831,-12816,2827,0
-4680,-17808,7128,-26207,-11854,3987,0
-2984,44,14636,-9624,-23015,14419,0
-168,2724,14940,-244,389,136,1
12244,-12744,12144,12393,16307,-10814,0
1872,1420,15924,159,150,-21,1
14496,-9852,420,-9399,3302,-7982,0
1868,1216,15732,-118,-25,-119,1
-6148,-9032,9584,8419,1338,-2516,0
-9324,-16900,10148,9645,-1886,20520,0
-24,2652,14332,9,-125,-247,1
-7944,10384,8808,766,5880,-1629,0
-21040,-3388,1100,-32768,1872,11309,0
-5168,-31352,8532,32767,15582,-6685,0
3728,-15372,9368,-8491,-17389,7371,0
-14488,-2860,-1772,-30019,-18844,-921,0
3780,-15900,8672,-4730,-12633,16056,0
-11420,-10804,6248,-308,-1141,-13070,0
8104,-10768,7552,1183,-51,10587,0
-144,1952,15340,-326,-43,-146,1
1828,1284,15256,-64,260,-166,1
-15052,3520,1880,269,-106,-67,0
376,940,15648,-313,-218,-156,1
1132,1780,15240,153,117,83,1
-16112,-2652,8704,1726,-1268,-917,0
1204,920,14804,270,1080,735,1
1012,1044,16040,-51,-11,75,1
980,1916,15332,5,8,-14,1
-8,1656,15476,110,328,-33,1
1032,1936,15276,-241,-47,-156,1
-11240,-9384,6388,-271,105,-847,0
104,1960,15672,-21,-72,-200,1
496,1212,16084,87,189,-121,1
828,2256,15608,-128,22,-103,1
-1980,2152,15316,-293,-747,-42,1
4096,-4392,18888,-9424,98,-7672,0
-14760,-15928,-13880,-32768,-17897,19355,0
10660,-5100,10480,21527,-1675,18312,0
604,1752,15832,-350,667,-165,1
640,1684,15692,25,201,0,1
-9560,-11100,6664,344,-58,-4291,0
7004,-32768,3356,12887,32767,17510,0
1512,1044,15736,7,169,-322,1
-15452,3696,2068,-270,69,-39,0
596,2080,15688,-120,24,96,1
-13360,-12128,1040,164,339,-17966,0
-324,3464,16856,-1187,-860,462,1
692,2100,15088,104,-425,277,1
980,1860,15748,5,17,-47,1
-6036,-12868,-2620,-23726,-32768,-3268,0
36,2080,15012,140,-316,-54,1
2148,1424,15644,-100,96,-195,1
-9512,-14736,-12840,32767,32767,-16295,0
1332,2304,14484,-215,-53,-239,1
2296,684,16916,-8,1099,6129,1
1636,1132,15508,-217,152,-416,1
884,2264,16408,-224,35,127,1
-6160,-8916,-15016,32767,32767,-11055,0
-7644,-15260,5688,1354,-26239,5877,0
764,2668,14544,-11,455,642,1
-7864,-1808,14780,32767,2588,-32768,0
-8968,-8876,6956,-2957,-1187,-3327,0
-9924,-9856,6544,-2973,-3169,1778,0
-9892,-8708,8168,2245,1613,913,0
3016,-496,16548,1035,-152,-2735,0
56,1908,16176,-159,-157,12,1
-10808,-8280,8992,-1860,-216,-1217,0
-13328,6188,-17152,-30891,-29659,1363,0
-13004,-3852,18028,-7896,2353,-22070,0
1640,2468,15368,-125,149,-175,1
-15372,3660,1824,-79,228,-147,0
1916,1028,15076,-33,178,-121,1
1080,1240,15616,-166,66,-36,1
-7372,-14300,9120,11112,-1228,16715,0
-6300,-15408,-6152,-32768,-32768,6066,0
1008,1936,15276,98,88,33,1
7524,-9024,7736,7890,-11517,3801,0
1140,2244,15756,50,118,37,1
168,-12040,5936,-9782,-6261,408,0
-7728,-9536,6864,508,-816,-343,0
2168,1944,15724,65,4,-250,1
468,1320,15888,-13,88,13,1
-4804,-16516,-7252,6300,-10300,-3478,0
-8684,-14316,-1616,32767,27291,-10995,0
21808,-6844,5204,2441,-1392,-601,0
5868,-26800,11352,-30210,-14615,8407,0
1228,2112,15396,175,-242,-164,1
2240,1420,15804,-265,96,-115,1
-11164,-11008,1272,72,-1062,474,0
1116,1736,15888,116,-66,113,1
1196,-21856,6552,-27419,-11782,2714,0
-13188,-7580,7532,-3405,-4043,-10114,0
-1044,1216,14356,-1240,1075,4164,1
-16120,-7048,-14116,32595,15593,-12872,0
604,2080,15708,-445,113,-433,1
-10300,-14264,5272,32767,20573,-676,0
112,1080,15472,-1652,1938,-1383,1
1432,2332,15720,-242,190,-246,1
1144,2212,15572,-40,-27,-90,1
-12092,10648,6396,-1195,-6259,-5973,0
-16528,-11412,8692,6439,7973,16247,0
972,968,16304,-63,127,-22,1
-12056,-9796,3628,20887,22997,-25991,0
-8900,-19448,-6120,-32768,-32768,18661,0
1284,2460,14944,211,-75,-23,1
528,1908,15612,-87,-122,156,1
-252,2220,14996,-554,864,-1295,1
744,980,15472,55,-118,53,1
884,1708,15476,-109,196,-177,1
-6408,-2716,19544,9426,-7279,9078,0
-7656,8676,10180,-623,-2788,-2411,0
-6476,-18700,-4880,-13365,16254,-805,0
612,1856,15632,219,89,241,1
-10588,-10532,4848,-98,-417,343,0
9216,-16632,976,12181,-30591,11792,0
-10912,-2724,-13892,32767,-1788,-7177,0
-14960,3488,2220,344,-95,33,0
-160,-5240,13584,-32768,-3381,32767,0
2676,1288,16128,-148,164,-57,1
1012,1296,16184,232,53,283,1
9984,4484,9320,-832,-241,322,0
1092,-22540,9864,18018,10460,2194,0
4904,-20868,-2692,28087,-19315,16165,0
1000,2240,15440,37,-120,77,1
-16120,-15312,-3752,-2108,-18636,-5398,0
1988,1672,16492,397,428,-204,1
-212,2004,16172,63,474,331,1
540,1420,15704,-602,228,55,1
-12188,-20692,14476,18738,-9063,32767,0
-5904,-10264,18360,-487,5775,-1808,0
1992,1284,15636,-225,12,225,1
396,2244,15500,-221,46,-168,1
-12632,-11584,812,-571,117,3742,0
444,2004,15836,-176,549,-74,1
540,2200,15444,-51,12,-64,1
-6356,5400,12872,-6281,2237,8038,0
-5788,-16440,15076,-5971,6008,-32768,0
10356,-32768,20348,-7454,-10427,-6915,0
492,1888,15580,42,222,-23,1
740,2296,14668,-243,-234,-226,1
908,2216,15536,-267,112,76,1
26940,-18124,14784,1692,5199,-32768,0
1088,988,15804,-182,14,-198,1
-6992,-8304,6980,5079,2009,2987,0
17424,-11804,8636,-2285,10270,-32768,0
7796,-8784,16764,7833,3657,-32768,0
-6016,-7728,10500,-14095,12336,-18901,0
1528,2056,15728,-482,-42,-97,1
-15532,2772,2844,1013,136,12,0
-2968,-15476,6472,10747,32081,-14098,0
15032,-18952,6668,9615,1558,32767,0
18696,-2732,11748,2509,18017,-19787,0
-31212,1568,-1020,1058,-19498,1460,0
-8572,-18508,8580,32767,16937,-7346,0
-10212,-9680,7900,1287,659,171,0
1420,1404,15724,-17,228,-591,1
496,2456,15124,-67,56,30,1
